School Year,RCDT Code,District Name,Enrollment Range,Enrollment Count,Salary Program,Month Salary Schedule Adopted,Signed Written Agreement,Local Affiliation,Meeting(s) Between School Board and Superintendent Based on Discussions With Teachers,Salary Program (Merit or Performance),Severance Pay,Early Retirement Program,Sick Leave Bank,Direct Reimbursement for Expenses,Leave with Pay,Sick Leave > 80 Days,Bachelor's Beginning Salary,Bachelor's Maximum Salary,Bachelor's Years to Max,Master's Beginning Salary,Master's Maximum Salary,Master's Years to Max,Master's 30-32+ Beginning Salary,Master's 30-32+ Maximum Salary,Master's 30-32+ Years to Max,Highest Scheduled Salary,Years to Highest Scheduled Salary,Education Level Required to Reach Highest Salary,Additional Hours Required to Reach Highest Salary,All Full-time Employees Eligible to Receive the Same Fringe Benefit Coverage,Teacher Retirement System Monies Included in Salary Schedule,Percentage of Board Paid TRS (Part D),Annual Dental Premium for Employee,Percentage of Employee Dental Paid by Employer,Annual Dental Premium for Family,Percentage of Family Dental Paid by Employer,Annual Disability Insurance Premium for Employee,Percentage of Employee Disability Insurance Paid by Employer,Annual Disability Insurance Premium for Family,Percentage of Family Disability Insurance Paid by Employer,Annual Hospitalization Insurance Premium for Employee,Percentage of Employee Hospitalization Insurance Paid by Employer,Annual Hospitalization Insurance Premium for Family,Percentage of Family Hospitalization Insurance Paid by Employer,Annual Life Insurance Premium for Employee,Percentage of Employee Life Insurance Paid by Employer,Annual Life Insurance Premium for Family,Percentage of Family Life Insurance Paid by Employer,Annual Prescription Insurance Premium for Employee,Percentage of Employee Prescription Insurance Paid by Employer,Annual Prescription Insurance Premium for Family,Percentage of Family Prescription Insurance Paid by Employer,Annual Vision Insurance Premium for Employee,Percentage of Employee Vision Insurance Paid by Employer,Annual Vision Insurance Premium for Family,Percentage of Family Vision Insurance Paid by Employer,Cafeteria Plan 1,Cafeteria Plan 2,Cafeteria Plan 3,Cafeteria Plan 4,CAFTERIA PLAN (1-4) MEMBER COST,CAFTERIA PLAN (1-4) MEMBER PERCENT PAID BY EMPLOYER,CAFTERIA PLAN (1-4) FAMILY COST,CAFTERIA PLAN (1-4) FAMILY PERCENT PAID BY EMPLOYER,OTHER BENEFIT TYPE 1,OTHER BENEFIT TYPE 2,OTHER BENEFIT TYPE 3,OTHER BENEFIT TYPE 4,OTHER BENEFITS (1-4) MEMBER COST,OTHER BENEFITS (1-4) MEMBER PERCENT PAID BY EMPLOYER,OTHER BENEFITS (1-4) FAMILY COST,OTHER BENEFITS (1-4) FAMILY PERCENT PAID BY EMPLOYER,EXPIRATION DATE OF CONTRACT,MASTERS 10TH YEAR SALARY,DOES CONTRACT CONTAIN FAIR SHARE PROVISION?,LONGEVITY PAY PROVIDED BY CONTRACT?,LONGEVITY BACHELORS MAXIMUM,YEARS TO LONGEVITY BACHELORS MAXIMUM,LONGEVITY MASTERS MAXIMUM,YEARS TO LONGEVITY MASTERS MAXIMUM,LONGEVITY MASTERS 30-32+ MAXIMUM ,YEARS TO LONGEVITY MASTERS 30-32+ MAXIMUM ,LONGEVITY HIGHEST SCHEDULED SALARY MAXIMUM,LONGEVITY HIGHEST YEAR SCHEDULED SALARY MAXIMUM,"DAYS PERSONAL, BUSINESS OR EMERGENCY LEAVE W/PAY",DAYS SICK LEAVE ACCUnlimitedMUnlimitedLATION BEYOND 180 DAYS
2019,28006099004,Spring Valley CCSD 99,500-999,736,Salary Schedule,January or before,Yes,IFT-AFT,,,,Yes,Yes,Yes,Yes,Yes,"$36,380.00","$50,018.00",15,"$41,040.00","$77,575.00",29,"$44,947.00","$84,963.00",29,"$84,963.00",29,Master's,32,Yes,No,9.9,$367.00,100,$880.00,50,$0.00,0,$0.00,0,"$7,123.00",100,"$15,064.00",50,$58.00,100,$0.00,0,$0.00,0,$0.00,0,$80.00,100,$156.00,100,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Aug-21,"$50,360.00",2,1,"$51,018.00",30,"$78,575.00",30,85963,30,"$85,963.00",30,3,15
2019,28006103022,DePue USD 103,Under 500,536,Salary Schedule,August,Yes,IFT-AFT,,,,,Yes,Yes,,Yes,"$34,483.00","$53,105.00",19,"$38,621.00","$62,415.00",24,$0.00,$0.00,0,"$64,484.00",24,Master's,16,Yes,Yes,9.9,$347.00,94,$954.00,0,$0.00,0,$0.00,0,"$6,732.00",94,"$13,597.00",0,$33.00,94,$0.00,0,$0.00,94,$0.00,0,$102.00,94,$117.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$46,898.00",1,1,"$53,705.00",20,"$63,015.00",25,0,0,"$65,084.00",25,NULL,350
2019,28006115002,Princeton ESD 115,"1,000-2,999",1299,Salary Schedule,September or later,Yes,IFT-AFT,,,,,Yes,Yes,Yes,Yes,"$37,871.00","$53,860.00",15,"$42,135.00","$66,652.00",23,"$44,267.00","$68,784.00",23,"$68,784.00",23,Master's,30,Yes,No,9.9,$410.00,0,$931.00,0,$6.00,100,$0.00,0,"$9,108.00",100,"$18,780.00",55,$51.00,100,$0.00,0,$0.00,100,$0.00,55,$106.00,0,$338.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-22,"$51,729.00",1,1,"$54,740.00",29,"$67,531.00",29,69663,29,"$69,663.00",29,2,340
2019,28006303026,La Moille CUSD 303,Under 500,274,Salary Schedule,January or before,Yes,IFT-AFT,,,,,,Yes,Yes,Yes,"$36,387.00","$53,330.00",20,"$39,985.00","$57,144.00",20,$0.00,$0.00,NULL,"$60,004.00",20,Master's,27,Yes,No,9.9,$398.00,0,"$1,075.00",0,$0.00,0,$0.00,0,"$9,050.00",95,"$23,807.00",0,$40.00,100,$0.00,0,$0.00,95,$0.00,0,$0.00,0,$0.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Aug-19,"$47,008.00",1,1,"$67,615.00",33,"$71,430.00",33,NULL,NULL,"$74,290.00",33,5,340
2019,28006340026,Bureau Valley CUSD 340,"1,000-2,999",1206,Salary Schedule,January or before,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$37,160.00","$55,860.00",17,"$41,560.00","$63,560.00",20,"$45,960.00","$70,160.00",22,"$70,160.00",22,Master's,32,Yes,Yes,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Education,,,"$5,700.00",90,"$14,681.00",0,8,NULL,NULL,NULL,"$2,285.00",100,NULL,NULL,Aug-19,"$51,460.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,U
2019,28006502017,Hall HSD 502,Under 500,460,Salary Schedule,August,Yes,IEA-NEA,,,,Yes,,Yes,Yes,Yes,"$41,197.00","$59,323.00",12,"$46,964.00","$78,274.00",20,$0.00,$0.00,NULL,"$82,599.00",20,Master's,36,Yes,No,9.9,$344.00,100,$945.00,35,NULL,NULL,NULL,NULL,"$8,236.00",100,"$16,487.00",35,$37.00,100,$45.00,0,NULL,NULL,NULL,NULL,$79.00,0,$153.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-19,"$61,795.00",1,1,"$59,763.00",21,"$78,713.00",21,NULL,NULL,"$83,038.00",21,2,340
2019,28006505016,Ohio CHSD 505,Under 500,47,Salary Schedule,January or before,Yes,IFT-AFT,,,,Yes,Yes,Yes,Yes,Yes,"$36,656.00","$56,875.00",24,"$40,172.00","$61,271.00",24,"$43,689.00","$64,787.00",24,"$64,787.00",24,Master's,32,Yes,Yes,9,$0.00,0,$0.00,0,$0.00,0,$0.00,0,"$9,270.00",100,"$16,026.00",0,$56.00,100,$0.00,0,$0.00,100,$0.00,0,$63.00,0,$116.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$48,084.00",1,1,"$57,974.00",25,"$62,370.00",25,65886,25,"$65,886.00",25,3,340
2019,28037190002,Colona SD 190,Under 500,490,Policy No Schedule,January or before,Yes,IEA-NEA,,,,Yes,Yes,,Yes,Yes,"$32,777.00",NULL,NULL,"$35,988.00",NULL,NULL,"$38,552.00",NULL,NULL,"$38,552.00",NULL,Master's,30,Yes,Yes,9.6,$370.00,0,"$1,264.00",0,NULL,NULL,NULL,NULL,"$7,560.00",90,"$22,728.00",70,NULL,100,NULL,0,NULL,90,NULL,70,$97.00,0,$302.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-19,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,U
2019,28037223026,Orion CUSD 223,"1,000-2,999",1163,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$36,846.00","$55,800.00",27,"$42,678.00","$64,548.00",31,"$48,510.00","$73,296.00",35,"$73,296.00",35,Master's,32,No,Yes,9.6,$339.00,0,$924.00,0,$184.00,100,$0.00,0,"$6,360.00",100,"$9,424.00",55,$72.00,100,$0.00,0,$0.00,0,$0.00,0,$77.00,0,$146.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$49,239.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,U
2019,28037224026,Galva CUSD 224,500-999,597,Policy No Schedule,August,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$38,022.00",$0.00,NULL,"$40,220.00",$0.00,NULL,$0.00,$0.00,NULL,"$70,367.00",NULL,Doctor's,0,Yes,Yes,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$6,978.00",75,"$19,066.00",0,$50.00,100,$33.00,100,NULL,75,NULL,0,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-22,$0.00,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,340
2019,28037225026,AlWood CUSD 225,Under 500,416,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$38,090.00","$54,730.00",15,"$42,540.00","$63,720.00",19,"$46,100.00","$67,280.00",19,"$68,170.00",19,Master's,40,Yes,Yes,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,$35.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Prescription,Cash,,"$10,203.00",100,"$26,713.00",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-22,"$53,560.00",2,1,"$57,777.00",16,"$67,123.00",20,70968,20,"$71,929.00",20,2,389
2019,28037226026,Annawan CUSD 226,Under 500,384,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,,Yes,"$32,896.00","$49,180.00",15,"$35,791.00","$59,608.00",16,NULL,NULL,NULL,"$59,608.00",16,,NULL,Yes,Yes,4,$367.00,0,"$1,364.00",0,$0.00,0,$0.00,0,"$6,231.00",100,"$20,028.00",0,$16.00,100,$0.00,0,$0.00,0,$0.00,0,$95.00,0,$271.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-22,"$48,950.00",2,1,"$50,493.00",26,"$59,634.00",26,NULL,NULL,"$62,450.00",26,NULL,U
2019,28037227026,Cambridge CUSD 227,Under 500,508,Salary Schedule,September or later,Yes,IEA-NEA,,,,Yes,Yes,Yes,Yes,,"$33,319.00","$63,523.00",30,"$37,240.00","$70,998.00",30,"$39,811.00","$75,899.00",30,"$75,899.00",30,Master's,24,Yes,No,1.8,$386.00,0,"$1,289.00",0,$0.00,0,$0.00,0,"$5,261.00",73,"$5,261.00",33,$17.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$77.00,0,$240.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$45,497.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL
2019,28037228026,Geneseo CUSD 228,"1,000-2,999",2691,Policy No Schedule,August,Yes,IEA-NEA,,,,Yes,,,Yes,Yes,"$35,525.00","$54,637.00",18,"$38,525.00","$61,934.00",27,"$46,270.00","$81,170.00",26,"$81,170.00",27,Master's,32,Yes,No,0,$490.00,0,"$1,453.00",0,NULL,NULL,NULL,NULL,"$4,563.00",100,"$11,984.00",85,$77.00,100,NULL,NULL,$0.00,100,$0.00,85,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$45,108.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,360
2019,28037229026,Kewanee CUSD 229,"1,000-2,999",2209,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$34,867.00","$57,501.00",22,"$38,187.00","$70,560.00",27,"$39,964.00","$77,279.00",29,"$77,279.00",29,Master's,30,Yes,Yes,0,$300.00,100,$674.00,0,NULL,NULL,NULL,NULL,"$7,566.00",86,"$19,562.00",0,$15.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$107.00,0,$317.00,0,,Annuity,Prescription,Dental,"$7,988.00",100,"$20,553.00",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$46,859.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,360
2019,28037230026,Wethersfield CUSD 230,500-999,633,Salary Schedule,April,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$37,802.00","$50,989.00",14,"$40,440.00","$65,214.00",26,NULL,NULL,NULL,"$69,346.00",28,Master's,24,Yes,No,9,$204.00,100,NULL,NULL,NULL,NULL,NULL,NULL,"$8,282.00",93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,$240.00,0,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$49,615.00",1,1,$0.00,0,"$66,140.00",27,70238,29,"$70,238.00",29,2,U
2019,28037801060,Henry-Stark County Spec Ed Dist,"1,000-2,999",NULL,Policy No Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$34,500.00","$53,336.00",23,"$40,000.00","$68,275.00",28,"$42,000.00","$74,585.00",30,"$74,585.00",30,Master's,30,Yes,No,0.6,$416.00,100,$728.00,0,$0.00,0,$0.00,0,"$6,706.00",97,"$15,882.00",0,$13.00,100,$0.00,0,$0.00,100,$0.00,0,$126.00,0,$217.00,0,,Life Insurance,,,"$1,500.00",100,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-22,"$47,804.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,U
2019,28088001026,Bradford CUSD 1,Under 500,180,Salary Schedule,May,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$30,000.00","$42,810.00",25,"$34,000.00","$45,123.00",25,"$34,000.00","$45,123.00",25,"$45,123.00",25,Master's,0,No,No,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$6,500.00",90,NULL,NULL,$100.00,100,NULL,NULL,$250.00,90,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-21,"$37,904.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,340
2019,28088100026,Stark County CUSD 100,500-999,820,Salary Schedule,May,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$36,453.00","$52,492.00",12,"$38,321.00","$61,313.00",16,"$39,793.00","$63,669.00",16,"$63,669.00",16,Master's,32,Yes,Yes,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$8,485.00",91,"$18,325.00",0,$53.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$52,116.00",1,1,NULL,NULL,"$62,540.00",19,64943,19,"$64,943.00",19,4,380
2019,30002001022,Cairo USD 1,Under 500,595,Salary Schedule,August,Yes,IEA-NEA,,,Yes,,Yes,,Yes,Yes,"$31,664.00","$62,038.00",38,"$32,649.00","$68,313.00",38,NULL,NULL,NULL,"$69,259.00",38,Master's,16,Yes,No,9.9,$457.00,0,$807.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,$30.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$93.00,0,$153.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-19,"$41,321.00",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,352
2019,30002005026,Egyptian CUSD 5,Under 500,582,Salary Schedule,September or later,Yes,IEA-NEA,,,,,,,Yes,Yes,"$32,180.00","$53,720.00",24,"$33,860.00","$62,340.00",28,$0.00,$0.00,NULL,"$63,130.00",28,Master's,16,Yes,No,1.5,$0.00,0,$0.00,0,$0.00,0,$0.00,0,"$7,972.00",63,"$19,985.00",0,$22.00,100,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Aug-19,"$42,960.00",2,1,"$61,200.00",25,"$68,500.00",29,0,0,"$68,500.00",29,2,340
2019,30002748040,Five County Reg Voc Center,Under 500,NULL,Salary Schedule,September or later,No,NULL,Yes,,Yes,,Yes,,Yes,Yes,"$32,180.00","$53,720.00",24,"$33,860.00","$62,340.00",28,NULL,NULL,NULL,"$63,130.00",28,Master's,16,Yes,No,1.5,$439.00,0,$796.00,0,$424.00,0,NULL,NULL,"$8,271.00",62,"$8,860.00",0,$22.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$156.00,0,$267.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$42,960.00",NULL,1,"$54,400.00",25,"$63,220.00",29,NULL,NULL,"$64,010.00",29,2,10
2019,30002748045,Five County Reg Voc System,Under 500,NULL,Salary Schedule,September or later,No,NULL,Yes,,Yes,,Yes,,Yes,Yes,"$32,180.00","$53,720.00",24,"$33,860.00","$62,340.00",28,NULL,NULL,NULL,"$63,130.00",28,Master's,16,Yes,No,1.5,$439.00,0,$796.00,0,$424.00,0,NULL,NULL,"$8,271.00",62,"$8,860.00",0,$22.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$156.00,0,$267.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$42,960.00",NULL,1,"$54,400.00",25,"$63,220.00",29,NULL,NULL,"$64,010.00",29,2,10
2019,30039086003,DeSoto Cons SD 86,Under 500,248,Salary Schedule,August,Yes,IEA-NEA,,,Yes,,,Yes,Yes,Yes,"$37,490.00","$49,622.00",17,"$39,765.00","$58,721.00",26,"$41,281.00","$64,787.00",32,"$65,545.00",32,Doctor's,0,Yes,Yes,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Cash,Prescription,,"$9,532.00",68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-21,"$46,589.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,360
2019,30039095002,Carbondale ESD 95,"1,000-2,999",1790,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,,Yes,Yes,"$46,922.00","$68,199.00",26,"$49,779.00","$81,432.00",26,"$52,811.00","$94,403.00",26,"$97,234.00",26,Doctor's,0,Yes,Yes,9.9,$328.00,0,"$1,111.00",0,$0.00,0,$0.00,0,"$13,481.00",70,"$24,473.00",25,$15.00,100,$0.00,0,$0.00,0,$0.00,0,$63.00,0,$184.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Aug-19,"$68,198.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,400
2019,30039130004,Giant City CCSD 130,Under 500,249,Salary Schedule,January or before,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$43,112.00","$53,826.00",15,"$46,519.00","$62,233.00",22,NULL,NULL,NULL,"$65,365.00",24,Master's,16,Yes,Yes,9.9,$425.00,100,"$1,459.00",29,NULL,NULL,NULL,NULL,"$8,649.00",52,"$24,649.00",18,$456.00,100,NULL,NULL,NULL,52,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$53,662.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,U
2019,30039140004,Unity Point CCSD 140,500-999,786,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,,Yes,Yes,"$39,775.00","$69,975.00",36,"$42,025.00","$72,225.00",36,$0.00,NULL,NULL,"$76,025.00",36,Master's,48,Yes,Yes,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$5,268.00",68,NULL,NULL,$42.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$50,275.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,340
2019,30039165016,Carbondale CHSD 165,"1,000-2,999",1173,Salary Schedule,April,Yes,IEA-NEA,,,Yes,,Yes,,Yes,Yes,"$43,082.00","$62,204.00",22,"$48,060.00","$76,743.00",22,"$51,379.00","$86,436.00",22,"$87,186.00",22,Doctor's,0,Yes,Yes,9,$357.00,45,$710.00,10,NULL,NULL,NULL,NULL,"$8,035.00",100,"$12,361.00",21,$74.00,100,NULL,NULL,NULL,100,NULL,NULL,$103.00,53,$198.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-21,"$63,995.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,340
2019,30039176026,Trico CUSD 176,500-999,1068,Salary Schedule,May,Yes,IEA-NEA,,,Yes,,,Yes,Yes,Yes,"$38,198.00","$65,163.00",29,"$43,138.00","$68,522.00",29,NULL,NULL,NULL,"$70,762.00",29,Master's,21,Yes,No,9.9,$0.00,0,$0.00,0,$0.00,0,$0.00,0,"$7,711.00",100,"$14,715.00",55,$0.00,0,$0.00,0,$0.00,0,$0.00,55,$0.00,0,$0.00,0,,,,,"$2,000.00",100,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Aug-19,"$50,450.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,U
2019,30039186026,Murphysboro CUSD 186,"1,000-2,999",2426,Salary Schedule,August,Yes,IEA-NEA,,,,,,,Yes,Yes,"$42,690.00","$73,689.00",33,"$45,346.00","$76,345.00",33,"$48,002.00","$79,001.00",33,"$79,001.00",33,Master's,32,Yes,Yes,9.9,$457.00,0,$807.00,0,NULL,NULL,NULL,NULL,"$8,472.00",100,"$10,296.00",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,$93.00,0,$148.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$54,740.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,360
2019,30039186061,Tri-County Sp Ed Jnt Agreement,Under 500,NULL,Salary Schedule,July,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$40,291.00","$62,841.00",26,"$42,654.00","$65,203.00",26,"$45,016.00","$67,566.00",26,"$67,566.00",26,Master's,32,Yes,Yes,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Annuity,Prescription,Cash,"$8,782.00",94,"$11,072.00",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$51,005.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,370
2019,30039196026,Elverado CUSD 196,Under 500,474,Salary Schedule,September or later,Yes,IEA-NEA,,,,Yes,Yes,,Yes,Yes,"$37,212.00","$57,680.00",40,"$39,051.00","$59,759.00",40,"$40,278.00","$60,985.00",40,"$61,598.00",40,Doctor's,0,Yes,No,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Annuity,Cash,Prescription,"$7,320.00",100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-21,"$47,425.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,355
2019,30073005002,Tamaroa School Dist 5,Under 500,121,Salary Schedule,September or later,Yes,IEA-NEA,,,,Yes,Yes,Yes,,Yes,"$40,750.00","$56,011.00",25,"$42,969.00","$58,230.00",25,NULL,NULL,NULL,"$59,340.00",25,Master's,16,Yes,Yes,10.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,Prescription,Cash,,"$10,748.00",56,"$22,680.00",26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$50,183.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,U
2019,30073050002,Pinckneyville SD 50,500-999,594,Salary Schedule,August,Yes,IEA-NEA,,,,Yes,,Yes,Yes,Yes,"$49,207.00","$67,311.00",24,"$52,384.00","$69,674.00",26,"$55,360.00","$75,498.00",30,"$75,498.00",30,Master's,32,Yes,Yes,9.9,NULL,NULL,NULL,0,NULL,NULL,NULL,0,"$10,200.00",100,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,NULL,NULL,NULL,0,Life Insurance,,,,"$2,625.00",100,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$58,465.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,354
2019,30073101016,Pinckneyville CHSD 101,Under 500,485,Salary Schedule,August,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$45,427.00","$66,610.00",27,"$48,368.00","$71,632.00",29,"$51,489.00","$74,753.00",29,"$74,753.00",29,Master's,32,Yes,Yes,9.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,6,9,5,9,"$6,429.00",100,"$10,305.00",0,Aug-19,"$56,390.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,355
